frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
178,1,0.2644,0.4406,0.0,False,False
179,1,0.2708,0.4514,0.0,False,False
180,3,0.0026,0.0044,0.0,False,False
180,1,0.299,0.4983,0.0,False,False
181,3,0.0025,0.0041,0.0,False,False
181,1,0.3035,0.5014,0.0067,False,False
182,3,0.0024,0.0041,0.0,False,False
182,1,0.304,0.5067,0.0,False,False
183,3,0.0024,0.004,0.0,False,False
183,1,0.3103,0.5083,0.0133,False,False
184,3,0.0022,0.0037,0.0,False,False
184,1,0.3063,0.5105,0.0,False,False
185,3,0.0022,0.0037,0.0,False,False
185,1,0.3182,0.5163,0.0211,False,False
186,3,0.0022,0.0037,0.0,False,False
186,1,0.3159,0.5176,0.0133,False,False
187,3,0.0022,0.0036,0.0,False,False
187,1,0.3195,0.5236,0.0133,False,False
188,3,0.0048,0.0036,0.0067,False,False
188,1,0.3191,0.5275,0.0067,False,False
189,3,0.0048,0.0036,0.0067,False,False
189,1,0.316,0.5167,0.0149,False,False
190,3,0.0021,0.0035,0.0,False,False
190,1,0.3082,0.5093,0.0067,False,False
191,3,0.0027,0.0045,0.0,False,False
191,1,0.2956,0.4882,0.0067,False,False
192,3,0.0039,0.0066,0.0,False,False
192,1,0.2973,0.4866,0.0133,False,False
193,3,0.0041,0.0068,0.0,False,False
193,1,0.2932,0.4842,0.0067,False,False
194,3,0.0045,0.0075,0.0,False,False
194,1,0.2931,0.4885,0.0,False,False
195,3,0.0102,0.0082,0.0133,False,False
195,1,0.2898,0.483,0.0,False,False
196,0,0.0287,0.0478,0.0,False,False
196,1,0.289,0.4817,0.0,False,False
197,3,0.0112,0.0098,0.0133,False,False
197,1,0.2871,0.4785,0.0,False,False
198,0,0.0274,0.0457,0.0,False,False
198,1,0.2864,0.4774,0.0,False,False
199,3,0.0064,0.0106,0.0,False,False
199,1,0.2822,0.4703,0.0,False,False
200,0,0.0241,0.0402,0.0,False,False
200,1,0.2755,0.4591,0.0,False,False
201,3,0.0079,0.0131,0.0,False,False
201,1,0.2727,0.4545,0.0,False,False
202,0,0.0227,0.0378,0.0,False,False
203,0,0.0238,0.0351,0.0067,False,False
204,3,0.0094,0.0157,0.0,False,False
205,3,0.0115,0.0191,0.0,False,False
206,3,0.0131,0.0174,0.0067,False,False
207,3,0.0124,0.0162,0.0067,False,False
208,0,0.0193,0.0277,0.0067,False,False
209,0,0.0146,0.0243,0.0,False,False
210,0,0.0046,0.0076,0.0,False,False
211,0,0.0048,0.0081,0.0,False,False
212,0,0.0047,0.0079,0.0,False,False
213,0,0.0047,0.0079,0.0,False,False
214,0,0.0047,0.0079,0.0,False,False
215,0,0.0049,0.0082,0.0,False,False
216,0,0.0053,0.0088,0.0,False,False
217,0,0.005,0.0083,0.0,False,False
218,3,0.0336,0.0516,0.0067,False,False
219,3,0.045,0.066,0.0133,False,False
220,3,0.0433,0.0677,0.0067,False,False
221,3,0.0417,0.0651,0.0067,False,False
221,1,0.3569,0.3207,0.4111,False,False
222,3,0.0423,0.066,0.0067,False,False
222,1,0.2186,0.3644,0.0,False,False
223,3,0.0379,0.0587,0.0067,False,False
223,1,0.2493,0.4066,0.0133,False,False
224,3,0.0385,0.0598,0.0067,False,False
224,1,0.2682,0.4425,0.0067,False,False
225,1,0.2679,0.4421,0.0067,False,False
226,3,0.0296,0.0404,0.0133,False,False
226,1,0.2914,0.4767,0.0133,False,False
227,3,0.0226,0.0333,0.0067,False,False
227,1,0.3061,0.5012,0.0133,False,False
228,3,0.0218,0.0319,0.0067,False,False
228,1,0.3161,0.5269,0.0,False,False
229,3,0.0229,0.0337,0.0067,False,False
229,1,0.3279,0.5465,0.0,False,False
230,0,0.0152,0.0253,0.0,False,False
230,1,0.3191,0.5275,0.0067,False,False
231,0,0.0148,0.0247,0.0,False,False
231,1,0.3302,0.5503,0.0,False,False
232,0,0.015,0.0251,0.0,False,False
232,1,0.3314,0.5478,0.0067,False,False
233,0,0.0148,0.0246,0.0,False,False
233,1,0.3295,0.5491,0.0,False,False
234,3,0.0151,0.0207,0.0067,False,False
234,1,0.3313,0.5522,0.0,False,False
235,3,0.0122,0.0204,0.0,False,False
235,1,0.3233,0.5299,0.0133,False,False
236,3,0.0203,0.0206,0.02,False,False
236,1,0.3172,0.5242,0.0067,False,False
237,0,0.0176,0.023,0.0094,False,False
237,1,0.3158,0.5218,0.0067,False,False
238,3,0.0172,0.0242,0.0067,False,False
238,1,0.3099,0.5165,0.0,False,False
239,3,0.0156,0.0261,0.0,False,False
239,1,0.3097,0.5117,0.0067,False,False
240,3,0.0174,0.0246,0.0067,False,False
240,1,0.3156,0.5216,0.0067,False,False
241,3,0.0189,0.0271,0.0067,False,False
241,1,0.3152,0.5209,0.0067,False,False
242,0,0.0176,0.0205,0.0133,False,False
242,1,0.3176,0.5249,0.0067,False,False
243,0,0.0154,0.0213,0.0067,False,False
243,1,0.3187,0.5312,0.0,False,False
244,3,0.0158,0.0263,0.0,False,False
244,1,0.3241,0.5358,0.0067,False,False
245,0,0.0174,0.0246,0.0067,False,False
245,1,0.3242,0.5359,0.0067,False,False
246,3,0.0155,0.0213,0.0067,False,False
246,1,0.322,0.5367,0.0,False,False
247,0,0.0165,0.0231,0.0067,False,False
247,1,0.3241,0.5402,0.0,False,False
248,0,0.0133,0.0222,0.0,False,False
248,1,0.3218,0.5275,0.0133,False,False
249,0,0.0203,0.025,0.0133,False,False
249,1,0.3178,0.5296,0.0,False,False
250,0,0.0191,0.023,0.0133,False,False
250,1,0.3193,0.5278,0.0067,False,False
251,0,0.0134,0.0223,0.0,False,False
251,1,0.3211,0.5308,0.0067,False,False
252,0,0.0131,0.0218,0.0,False,False
252,1,0.3147,0.5245,0.0,False,False
253,0,0.0165,0.0231,0.0067,False,False
253,1,0.3202,0.5337,0.0,False,False
254,1,0.3181,0.5302,0.0,False,False
255,0,0.0162,0.0225,0.0067,False,False
255,1,0.314,0.5234,0.0,False,False
256,3,0.0176,0.0249,0.0067,False,False
256,1,0.317,0.5239,0.0067,False,False
257,0,0.0153,0.0256,0.0,False,False
257,1,0.3145,0.5198,0.0067,False,False
258,0,0.0144,0.024,0.0,False,False
258,1,0.3131,0.5219,0.0,False,False
259,0,0.0134,0.0223,0.0,False,False
259,1,0.313,0.5217,0.0,False,False
260,3,0.0156,0.026,0.0,False,False
